hs2,etr_2024w,etr_actualw,imports_2024_B,imports_actual_B,gap_pp
46,0.35693306019129034,0.288511241352034,0.590737166,0.046351641,6.842181883925635
71,0.2324835025130531,0.16552784701306583,90.102958862,7.082215719,6.695565549998728
24,0.5895996195938759,0.5260625680226897,3.192494803,0.263965947,6.3537051571186165
13,0.2755600500886222,0.22074300848116235,1.762235878,0.100795091,5.481704160745987
29,0.2175188235520542,0.272005422767403,56.773691994000004,2.686152206,-5.448659921534881
65,0.3082204213987372,0.2614319098820407,2.958430081,0.250377101,4.678851151669649
43,0.22043564247423345,0.17435580289438513,0.142009021,0.015755525,4.607983957984832
41,0.23039257213291905,0.18965810948377468,0.422714726,0.032216408,4.073446264914438
60,0.32225202083489374,0.282002889413011,0.857055497,0.051403816,4.024913142188274
42,0.29771285061191977,0.25831327232989953,13.654506873,1.103369327,3.939957828202023
12,0.3533159102505364,0.31478006031098704,2.809446105,0.201341707,3.853584993954934
54,0.33022755957000605,0.2917488442663091,1.792389821,0.114873284,3.8478715303696953
80,0.18391358519193185,0.14653199625001725,0.894682629,0.07964923,3.7381588941914594
95,0.28946058021891796,0.2538620444503057,40.937653413,2.358194858,3.559853576861227
50,0.28334255804231756,0.2484078135823705,0.055275472,0.004656785,3.493474445994707
86,0.26381506477475536,0.2289350443978317,2.422432946,0.108644212,3.4880020376923673
09,0.23497492372000306,0.20051276468388757,11.410021905,1.195266359,3.446215903611549
17,0.2438302129162377,0.2133176784920528,6.923429785,0.468709594,3.051253442418489
79,0.09009213509655782,0.059862210412083394,2.155411414,0.234396942,3.0229924684474425
05,0.24173358260966324,0.21223499899369738,1.195994527,0.082131095,2.9498583615965854
64,0.36727645731455394,0.33796369705087453,27.348869199,1.992957906,2.9312760263679403
88,0.20462252671009362,0.23212938792424473,35.41274412,4.935982365,-2.750686121415111
52,0.2913657506292992,0.2644400047816169,0.773852152,0.057232001,2.6925745847682316
94,0.26137847658724567,0.23476383133994755,67.043032958,4.693689737,2.661464524729812
53,0.30224064034303666,0.2765477297823188,0.244331628,0.016822256,2.5692910560717874
59,0.24251964148088545,0.21707306949834437,2.926670281,0.189881235,2.5446571982541077
73,0.298797055151047,0.27395452086393796,49.394311484,2.936830272,2.484253428710903
81,0.20376944010232095,0.1795673710669398,3.558517553,0.299516126,2.420206903538116
55,0.30163783898305974,0.2775197839447322,1.580791658,0.110727739,2.4118055038327535
02,0.18380301200990154,0.16001947722410126,14.804936325,1.519044095,2.378353478580028
70,0.2720271172920148,0.24877722040478226,8.966969176,0.66889382,2.324989688723253
36,0.236856772559332,0.21397596929240745,1.179725084,0.097272586,2.2880803266924543
96,0.30443851237283065,0.28205957555141126,8.674840076,0.583217907,2.237893682141939
58,0.3337963781128842,0.31271274988857567,0.819737713,0.05272784,2.1083628224308537
66,0.3656987872202611,0.3455757587870315,0.638227265,0.043241112,2.012302843322961
03,0.23119042493273878,0.21148591212929765,19.798109866,1.534009225,1.9704512803441125
63,0.37227682731757983,0.3527243537019182,16.87754957,1.056980359,1.9552473615661647
48,0.2535150925178978,0.2342202937819014,19.439131253,1.381280014,1.9294798735996377
84,0.2262781500806117,0.20731932275500206,514.170650875,63.466516991,1.8958827325609633
93,0.19889564515964564,0.1804237784875375,4.373952468,0.329285799,1.847186667210815
85,0.2570142507086474,0.23874100975236345,472.478829806,43.786728039,1.8273240956283965
51,0.1976829236002655,0.17947013252959976,0.23719536,0.021046023,1.821279107066573
78,0.11516076518920619,0.09737623956224221,0.94901431,0.086024579,1.7784525626963976
28,0.2046213142063034,0.1871195115912435,18.247721909,1.57958992,1.7501802615059903
62,0.31748815215954446,0.3000192860600498,35.404188681,2.531573537,1.7468866099494662
92,0.2435552182136168,0.2263297396968251,1.595331237,0.106992484,1.7225478516791708
83,0.2634202996473145,0.24628850691567755,15.24483881,1.116809384,1.7131792731636952
69,0.27110790830163295,0.25423451434084865,7.14427108,0.56811095,1.68733939607843
39,0.22508088378508162,0.20899812892343045,72.904545709,5.172168338,1.6082754861651172
61,0.29891522671621623,0.28294097141885666,45.890079162,3.630632048,1.5974255297359574
35,0.19827646318479397,0.1825733602617928,3.842030322,0.307029322,1.570310292300117
44,0.24957704360481148,0.23448030617533053,22.871048473,1.350987768,1.5096737429480949
82,0.2638735851265395,0.24893691968837328,11.066301928,0.879500253,1.4936665438166241
68,0.25083980940466616,0.2363459051654502,9.61838026,0.682360505,1.4493904239215953
56,0.25924082593198766,0.245027365507216,2.842305805,0.231506857,1.4213460424771673
15,0.22843676945816188,0.21440542547853514,16.65575964,1.246580091,1.4031343979626743
18,0.2233365486702113,0.20998742871309575,8.065762832,0.881611081,1.3349119957115545
45,0.34102401148332356,0.3281039254432156,0.020033902,9.87709e-4,1.292008604010797
23,0.23026305122039675,0.21781562258708012,5.174697844,0.40258599900000003,1.244742863331663
34,0.17896815923758866,0.16662324957696242,6.17861892,0.461289136,1.2344909660626235
74,0.15763640248423533,0.1456232872466982,17.078484717,2.608972443,1.201311523753712
37,0.16430152206658055,0.15243328003397796,1.538577816,0.137281254,1.186824203260259
14,0.20288192512463216,0.19151547623288676,0.187441194,0.023466652,1.1366448891745402
26,0.18867101615647255,0.1999489659923687,3.168836092,0.243757855,-1.127794983589614
47,0.3394036040017789,0.3494568338152605,4.544420086,0.292041175,-1.0053229813481612
72,0.26977874677328273,0.2794348740668847,31.671277281,1.612219511,-0.965612729360199
67,0.33084238773932656,0.32163934486333506,2.442887675,0.163921815,0.9203042875991496
76,0.19916345162380011,0.190152010113718,26.545276434,2.01111017,0.9011441510082124
97,0.15583950783172174,0.16478124097662947,8.806010001,0.636711179,-0.8941733144907732
08,0.1377303398460616,0.12888484290258584,24.022920777,2.113975757,0.884549694347575
57,0.3375594648856156,0.3290693729104961,3.384573242,0.245318293,0.8490091975119518
11,0.1486368487802292,0.1402532381961989,2.537833235,0.158137661,0.838361058403031
40,0.21681114245877672,0.20857017777824194,34.162038728,2.631347006,0.8240964680534785
98,0.28329902544492463,0.27527230526524255,34.520323928,3.344770617,0.802672017968209
89,0.18263162164870253,0.17517772923541577,3.483607962,0.150620675,0.7453892413286756
38,0.18780462288020922,0.18057014607736505,24.088031568,1.53677928,0.723447680284417
10,0.21571758402218083,0.20874097785598644,3.115799644,0.239146848,0.6976606166194388
32,0.22238716334241432,0.21548882258018257,5.120238722,0.338476802,0.6898340762231753
20,0.24760818648801283,0.253701065089503,14.326753981,1.254519048,-0.6092878601490187
90,0.18834234068675923,0.1824401757091068,122.640992249,10.237960942,0.5902164977652419
19,0.2346553045809362,0.22881954497874935,15.77380199,1.296279646,0.5835759602186852
87,0.2375616561262225,0.23195911651036952,388.997085346,26.978845499,0.56025396158529694
33,0.17702564338937005,0.17190237889540946,23.073106965,1.444364267,0.5123264493960583
21,0.18271953509368158,0.18778563886610614,12.290003017,0.766235768,-0.5066103772424557
27,0.10458159442566185,0.10049782875429156,139.849910392,11.26573082,0.4083765671370296
91,0.16244291134953737,0.15883644178202913,7.602006088,0.602484113,0.3606469567508236
49,0.20593096720676643,0.20239441604450745,5.285632505,0.405251221,0.3536551162258983
07,0.11410963546396775,0.1107763010626809,15.678482444,1.195764174,0.3333334401286858
06,0.13431390431504117,0.13181154048673435,3.630873179,0.248709558,0.25023638283068195
31,0.2102551678929807,0.21270171775089058,3.983858609,0.284230845,-0.24465498579098743
01,0.200165658954202,0.19809969532691282,4.763846138,0.288473144,0.2065963627289169
16,0.270403923452034,0.26901521330327977,6.827204204,0.57375267,0.13887101487542464
25,0.21001186940559613,0.20866689153686385,5.466167663,0.416705034,0.13449778687322778
30,0.1675201878075393,0.1687956876942494,217.069576304,15.589697699,-0.12754998867101075
75,0.1809571436536541,0.1821651497165254,3.607991838,0.271724784,-0.1208006062871303
04,0.20981822787207602,0.20917985598473454,4.286035976,0.301519053,0.06383718873414768
22,0.15338480751348488,0.15336757440439008,30.780795273,1.668377444,0.0017233109094794141
